index,bitmask,num_features,mean_accuracy,mean_time
126,000000001111110,6,0.8646364827,0.1159059007
127,000000001111111,7,0.8676658198,0.2897803988
128,000000010000000,1,0.6356823929,0.1593187302
129,000000010000001,2,0.7198660802,0.2275521629
130,000000010000010,2,0.6647002418,0.2495150073
131,000000010000011,3,0.718909448,0.5584636368
132,000000010000100,2,0.688775517,0.04720604955
133,000000010000101,3,0.7098214347,0.3046419595
134,000000010000110,3,0.649234686,0.2940185857
135,000000010000111,4,0.725286996,0.3545072628
136,000000010001000,2,0.6702806074,0.07695387746
137,000000010001001,3,0.7149234768,0.2824473213
138,000000010001010,3,0.649713004,0.4803690864
139,000000010001011,4,0.7272002641,0.3486095271
140,000000010001100,3,0.6572066285,0.1559885498
141,000000010001101,4,0.7160395496,0.2468706123
142,000000010001110,4,0.6648596898,0.2573395721
143,000000010001111,5,0.7294324003,0.4120742176
144,000000010010000,2,0.7499999981,0.1384136206
145,000000010010001,3,0.7594068833,0.356139469
146,000000010010010,3,0.7399553601,0.346794161
147,000000010010011,4,0.7727997359,0.3604481607
148,000000010010100,3,0.738839291,0.2106614525
149,000000010010101,4,0.7654655538,0.3933016462
150,000000010010110,4,0.7361288331,0.2876224481
151,000000010010111,5,0.7678571362,0.3378830152
152,000000010011000,3,0.7394770458,0.1788782678
153,000000010011001,4,0.7579719368,0.2900140709
154,000000010011010,4,0.7487244885,0.3116821279
155,000000010011011,5,0.7675382569,0.3163172286
156,000000010011100,4,0.737882657,0.1786280889
157,000000010011101,5,0.7640306074,0.2391728298
158,000000010011110,5,0.7332589347,0.2488310761
159,000000010011111,6,0.7731186152,0.3831451274
160,000000010100000,2,0.7287946511,0.09486956988
161,000000010100001,3,0.7578124963,0.2845551344
162,000000010100010,3,0.7228954155,0.3115522615
163,000000010100011,4,0.7578124963,0.3197415136
164,000000010100100,3,0.7356505189,0.1308266337
165,000000010100101,4,0.7517538257,0.2971858084
166,000000010100110,4,0.7369260229,0.2474794127
167,000000010100111,5,0.7410714328,0.2818934517
168,000000010101000,3,0.7382015325,0.1445637776
169,000000010101001,4,0.7566964254,0.2308481317
170,000000010101010,4,0.7337372527,0.288780306
171,000000010101011,5,0.7584502511,0.4298872491
172,000000010101100,4,0.7287946492,0.1269752358
173,000000010101101,5,0.7608418316,0.1991810035
174,000000010101110,5,0.7276785783,0.2015142413
175,000000010101111,6,0.754783161,0.2589984653
176,000000010110000,3,0.7506377548,0.2760349698
177,000000010110001,4,0.7562181093,0.2722886568
178,000000010110010,4,0.7555803545,0.2298847795
179,000000010110011,5,0.777901778,0.3009746457
180,000000010110100,4,0.7503188755,0.1301969204
181,000000010110101,5,0.7656249925,0.2053943956
182,000000010110110,5,0.749521682,0.3445342896
183,000000010110111,6,0.7815688718,0.2527750998
184,000000010111000,4,0.7415497471,0.1421903374
185,000000010111001,5,0.7641900443,0.2114737111
186,000000010111010,5,0.7568558641,0.2023291723
187,000000010111011,6,0.778380096,0.3762578652
188,000000010111100,5,0.7509566341,0.1319161636
189,000000010111101,6,0.7633928508,0.1920425829
190,000000010111110,6,0.7557397932,0.1847663401
191,000000010111111,7,0.7661033142,0.348360694
192,000000011000000,2,0.8620854653,0.07234946301
193,000000011000001,3,0.8266900554,0.2783042691
194,000000011000010,3,0.8445472047,0.266636044
195,000000011000011,4,0.858577814,0.4207460159
196,000000011000100,3,0.8560267929,0.1622822294
197,000000011000101,4,0.8432716969,0.2110648695
198,000000011000110,4,0.8710140325,0.2044504501
199,000000011000111,5,0.8703762777,0.237349286
200,000000011001000,3,0.8451849632,0.1456313373
201,000000011001001,4,0.8463010322,0.205651039
202,000000011001010,4,0.865433678,0.1924150493
203,000000011001011,5,0.8573023025,0.359951295
204,000000011001100,4,0.859693883,0.1015566546
205,000000011001101,5,0.8483737335,0.1629664947
206,000000011001110,5,0.8639987297,0.2056214535
207,000000011001111,6,0.875,0.239739472
208,000000011010000,3,0.8470982239,0.1629429071
209,000000011010001,4,0.8327487353,0.3791019991
210,000000011010010,4,0.8627232183,0.2737563169
211,000000011010011,5,0.8601721991,0.2912201253
212,000000011010100,4,0.8545918465,0.1417169769
213,000000011010101,5,0.8480548561,0.2151191095
